Keyword,Description
RESORB,Re-adsorption factor.
ROCKPAMA,Palmer-Mansoori rock model data.
ROCKPAME,Composition dependent Palmer-Mansoori alike rock model data.
TPAMEPS,Specify the strain term for each component versus gas concentration to be used by ROCKPAMA.
ACF,Acentric factors. Required.
ACFS,Acentric factors for surface EoS
BIC,Binary interaction coefficients for EoS.
BICS,Binary interaction coefficients for surface EoS
CALVAL / CALVALR,Component calorific values and component calorific values for multiple equation of state regions.
CNAMES,Component names.
DENSITY,Stock tank fluid densities.
GRAVITY,Stock tank fluid gravities.
DREF,Reference densities (for Zudkevitch Joffe EoS).
FACTLI,Modifies the Li critical temperature correlation.
GREF,Reference gravities (for Zudkevitch Joffe).
LBCCOEF,Set non-default LBC coefficients.
LBCCOEFR,Set non-default LBC coefficients for multiple equation of state regions.
LILIM,Specifies the range for Li-interpolation.
MW,Molecular weights.
MWS,Molecular weights for surface EoS.
NCOMPS,Confirm number of components. Confirms the value of NCOMPS set in RUNSPEC.
OMEGAA,??? values for reservoir.
OMEGAAS,?? values for surface EoS.
OMEGAB,?_b? values for reservoir. Assumes default values if omitted.
OMEGABS,?_b values for surface EoS.
PCRIT,Critical pressures.
PCRITS,Critical pressures for surface EoS.
PEDERSEN,Allows use of Pedersen viscosity calculation.
PEDTUNE,Provides a single set of multiplicative tuning parameters to modify the mixture molecular weight calculation used in the Pedersen et al. viscosity calculation.
ENSPCVD,"Variation of the scaled connate saturation, for Pc curves only, with depth."
IMKRVVD,Variation of end point relative permeability values with depth for the imbibition curve
IMPCVD,Variation of maximum capillary pressure values with depth for the imbibition curve.
IMPTVD,Variation of end point saturation values with depth for the imbibition curve.
IMSPCVD,"Variation of the scaled connate saturation, for Pc curves only, with depth for the imbibition curve."
"IPCG, IPCW","Imbibition curve end point capillary pressure values, equivalent to keywords PCG, PCW."
"ISGLPC, ISWLPC","Imbibition curve end point scaling data, equivalent to keywords SGLPC, SWLPC."
NOWARNEP,Suppresses all warning messages resulting from end point consistency checks.
SCALELIM,Sets saturation scaling limits for each end point scaling versus depth region.
SGLPC,"Connate gas saturation, for Pc curves only, for grid cells in the current input box"
SWLPC,"Connate water saturation, for Pc curves only, for grid cells in the current input box."
ADSORP,Tracer adsorption functions (analytical).
TRDCY,Tracer decay functions.
TRDIF,Tracer diffusion functions.
TRROCK,Tracer rock properties.
FOAMFCN,Gas mobility reduction dependence upon capillary number
FOAMFRM,Gas reference mobility reduction factor
FOAMFSC,Gas mobility reduction dependence upon surfactant concentration
FOAMFSO,Gas mobility reduction dependence upon oil saturation
FOAMFST,Gas-water surface tension dependence upon concentration
FOAMFSW,Gas mobility reduction dependence upon water saturation
FOAMADS,Foam adsorption functions
FOAMDCYO,Foam decay as a function of oil saturation
FOAMDCYW,Foam decay as a function of water saturation
FOAMMOB,Gas mobility reduction data
FOAMMOBP,Pressure dependence on foam mobility reduction
FOAMMOBS,Shear dependence on foam mobility reduction
FOAMOPTS,Specifies the Foam Model options.
FOAMROCK,Specifies the foam rock properties.
BIOTCTAB,"Defines a multiplier for the Biot constant, this being a two-dimensional tabular function of maximum and minimum principal stress."
GEOYLDF,Defines parameters for the plastic yield function in each geomechanics region.
PERMSTAB,"Defines a permeability multiplier, this being a two-dimensional tabular function of maximum and minimum principal stress. A table is entered for each geomechanics region."
SCDATABG,"Defines a scale damage table to be used together with the proppant flowback feature, keyword PROPFLOW."
HMMROCK,Cumulative multipliers on rock compressibility.
HMMROCKT,Cumulative modifiers of rock compaction parameters.
HMPROPS,Section heading for end-point scaling modifiers.
HMROCK,Calculate gradients with respect to rock compressibility multipliers.
HMROCKT,Calculate gradients with respect to rock compaction parameters.
HMRREF,Reference pressures for HMROCKT.
KVGEN,Specify that K-values are to be generated internally.
KVTABLE,Tables of K-values.
"KVTABCn, KVMF, KVCOMP",Composition dependent K-values.
ADSORP,Polymer adsorption functions (analytical) with optional salinity dependence.
PLYMAX,Polymer/salt concentrations for mixing calculations.
PLYROCK,Polymer-rock properties.
PLYSHEAR,Polymer shear thinning/thickening data.
PLYVISC,Polymer solution viscosity function.
PLYVISCS,Polymer/salt solution viscosity function.
SALTNODE,Salt concentration nodes for polymer solution viscosity.
ADSALNOD,Salt concentration nodes for polymer solution adsorption
PLYATEMP,Polymer adsorption functions varying with temperature (tabulated).
SOCRS,Scaled critical oil-in-water saturations at miscible conditions.
SURFST,Oil-water surface tension in the presence of surfactant.
SURFSTES,Salinity dependent oil-water surface tension in the presence of surfactant.
ESSNODE,Salt concentration nodes for oil-water surface tension.
SURFVIS,Modified water viscosity.
SURFCAPD,Capillary de-saturation data.
SURFADS,Surfactant adsorption functions (tabulated).
ADSORP,Surfactant adsorption functions (analytical) with optional salinity dependence
SURFADDW,"Tables of adsorbed surfactant mass versus fraction of oil-wet and water-wet curves, for calculating immiscible relative permeabilities."
SURFROCK,Rock properties.
TRACKERP,Partitioning function K(P) for partitioned tracers.
CVTYPE,Define solid phase components
CVTYPES,Define solid phase components at surface conditions
REACSMAX,Reaction rate solid saturation limit
REACSORD,Reaction rate solid order
SCREF,Component solid phase compressibility
SDREF,Component solid phase reference density
SOLIDADS,Solid adsorption table
SOLIDMMC,Solid mobility multiplier (as a function of adsorbed solid concentration)
SOLIDMMS,Solid mobility multiplier (as a function of adsorbed solid saturation)
SOLWTAB,Defines an interpolation parameter as a function of adsorbed solid concentration.
SOLWW,Defines a component weighting factor for calculating the wetting-solid concentration.
SPECHS,"Component solid specific heat, 1st coefficient"
SPECHT,"Component solid specific heat, 2nd coefficient"
SPREF,Component solid phase reference pressure
STREF,Component solid phase reference temperature
STHERMX1,Component solid phase thermal expansion coefficient
SURFST,Oil-water surface tension in the presence of surfactant.
SURFSTES,Salinity dependent oil-water surface tension in the presence of surfactant.
ESSNODE,Salt concentration nodes for oil-water surface tension.
SALTEFF,Effective salinity coefficients.
SURFCAPD,Capillary de-saturation data.
SURFOPTS,Surfactant options.
OILVISCT,Inputs tables of oil viscosity versus temperature.
RTEMP,Specify constant reservoir temperature.
RTEMPA,Specify constant reservoir temperature.
SPECHEAT,Inputs tables of fluid specific heat data.
SPECROCK,Inputs tables of rock specific heat data.
TEMPTVD,Requests the use of the flux limited transport scheme.
VISCOREF,Sets reference conditions for viscosity versus temperature tables.
WATVISCT,Inputs tables of water viscosity versus temperature.
TRACER,Names and phases of passive tracers.
TRACITVD,"Requests implicit flux limiting scheme, to reduce numerical dispersion."
TRACTVD,"Requests explicit flux limiting scheme, to reduce numerical dispersion."
TRDIF,Tracer diffusion functions.
TRDIS,Tracer dispersion table numbers.
DISPERSE,Tracer dispersion tables.
DIAGDISP,Enables an alternate form of dispersion.
TRNHD,Speeds up dispersion calculation for a tracer when the dispersion is only being used to model constant coefficient non-homogeneous diffusion
AMFVD,Aqueous mole fractions versus depth
CREF,Component compressibilities
CCTYPE,Component liquid compressibility type
CCTYPES,Component liquid compressibility type at surface conditions
CGDTYPE,Component gas (EoS) density model
CGVTYPE,Component gas (EoS LBC) viscosity model
CODTYPE,Component oil (EoS) density model
COVTYPE,Component oil (EoS LBC) viscosity model
CVTYPE,"Component volatility (dead, live, gaseous)"
CVTYPES,"Component volatility (dead, live, gaseous) at surface conditions"
DREF,Fluid densities at the reference pressures and temperatures.
DREFS,Reference densities for use in the surface calculations
DREFT,alias for DREF
DREFTS,alias for DREFS
ENKRVT,Endpoint relative permeabilities versus temperature
ENPCVT,Endpoint capillary pressures versus temperature
ENPTVT,Endpoint saturations versus temperature
GASVISCF,Gas viscosity function of temperature
GASVISCT,Gas viscosity table as a function of temperature
HEATVAP,Component heat of vaporization at standard temperature
HEATVAPE,Component heat of vaporization
HEATVAPS,Heat of vaporization exponent
KVCR,K-value correlation parameters
KVCRS,K-value correlation parameters at surface conditions
KVGEN,K-values generated from an EoS.
KVCRWAT,Water K-value correlation parameters
KVTABTn,Tables of K-values
KVTEMP,Temperatures for K-value tables
KWTABTn,Tables of aqua Kw-values
KWTEMP,Temperatures for Kw-value tables
KVWI,Wilson K-value correlation parameters
OILCOMPR,"Oil compressibility, expansion coefficient"
OILMW,Oil molecular weight
OILSPECH,Oil specific heat
OILVINDX,Oil viscosity index
OILVISCC,Oil viscosity-temperature correlations
OILVISCF,Oil viscosity function
OILVISCT,Oil viscosity table as a function of T
OILVTIM,Interpolation method for OILVISCT data
PREF,Component reference pressures
PREFS,Component reference pressures for surface EoS
PREFT,Alias for PREF
PREFTS,Alias for PREFS
REACENTH,Reaction molar enthalpy
SPECHA,"Component oil specific heat, 1st coefficient"
SPECHB,"Component oil specific heat, 2nd coefficient"
SPECHG,"Component gas specific heat, 1st coefficient"
SPECHH,"Component gas specific heat, 2nd coefficient"
SPECHS,"Component solid specific heat, 1st coefficient Solid option"
SPECHT,"Component solid specific heat, 2nd coefficient Solid option"
SPECHW1,"Component aqua specific heat, 1st coefficient"
SPECHW2,"Component aqua specific heat, 2nd coefficient"
THANALB,Analytic water and steam densities
THANALH,Analytic water and steam enthalpy values
THERMEX1,Analytic oil viscosities
THANALV,Component thermal expansion coefficient
THSVC,Steam viscosity coefficients
THTABB,Tabular water and steam densities
THWVC,Water viscosity coefficients
TRANGE,Expected temperature limits
TREF,Reference temperatures for fluid densities
TREFS,Reference temperatures for use in the surface calculations
TREFT,alias for TREF
TREFTS,alias for TREFS
VISCOREF,Reference conditions for the viscosity/temperature tables
WATDENT,Water density temperature dependence
WATVISCT,Inputs tables of water viscosity versus temperature.
ZFACT1,Z-factor first coefficient
ZFACT1S,Surface Z-factor first coefficient
ZFACTOR,Z-factors zeroth coefficient
ZFACTORS,Surface Z-factor zeroth coefficient
EPSODD3P,"End-point scaling, reference surface tensions and threshold interfacial tensions"
HSGRO,Hysteresis end-point (residual) grid-block gas saturations for a gas-oil system
HSGRW,Hysteresis end-point (residual) grid-block gas saturations for a gas-water system
HSORG,Hysteresis end-point (residual) grid-block oil saturations for an oil-gas system
HSORW,Hysteresis end-point (residual) grid-block oil saturations for an oil-water system
HSWRG,Hysteresis end-point (residual) grid-block water saturations for a water-gas system
HSWRO,Hysteresis end-point (residual) grid-block water saturations for a water-oil system
ODD3P,Select the ODD3P three-phase relative permeability and capillary pressure model
OPTODD3P,Provides backwards compatibility and saturation switching options for the ODD3P three-phase relative permeability and capillary pressure hysteresis model
PCODD3P,Capillary pressure calculation control
PCODD3PG,Capillary pressure gas saturation function
PCODD3PW,Capillary pressure water saturation function
PSGRO,Primary end-point (residual) grid-block gas saturations for a gas-oil system
PSGRW,Primary end-point (residual) grid-block gas saturations for a gas-water system
PSORG,Primary end-point (residual) grid-block oil saturations for an oil-gas system
PSORW,Primary end-point (residual) grid-block oil saturations for an oil-water system
PSWRG,Primary end-point (residual) grid-block water saturations for a water-gas system
PSWRO,Primary end-point (residual) grid-block water saturations for a water-oil system
ADD,Adds specified constants to specified arrays in the current input box.
ADDREG,"Add by MULTNUM, FLUXNUM or OPERNUM region."
BOX,Redefines the current input box.
COPY,Copies data in the current box from one specified array to another.
COPYBOX,Copies data from one box of cells to another box of the same size.
COPYREG,"Copy by FLUXNUM, MULTNUM or OPERNUM region."
ENDBOX,Redefines the current input box to encompass the whole grid.
ENDFIN,End input for local grid refinement.
EQUALREG,"Set by FLUXNUM, MULTNUM or OPERNUM region."
EQUALS,Sets specified arrays to specified constants within the current box.
IMPORT,Imports binary data generated by a grid pre-processor.
MAXVALUE,Applies a maximum value to specified arrays within the current box.
MINVALUE,Applies a minimum value to specified arrays within the current box.
MULTIPLY,Multiplies specified arrays by specified constants within the current box.
MULTIREG,"Multiply by FLUXNUM, MULTNUM or OPERNUM region."
OPERATE,Performs arithmetic operations on arrays.
OPERATER,Performs arithmetic operations on arrays for a specific region of the grid (defined using the OPERNUM keyword in the GRID section).
REFINE,Initiates data for a named local grid.
ACTCO2S,Activity coefficient model for CO?. CO2STORE only
AQUTAB,Carter-Tracy aquifer influence functions.
DENSITY,Stock tank fluid densities.
ENKRVD,Variation of end point relative permeability values with depth.
ENPCVD,Variation of maximum capillary pressure values with depth.
ENPTVD,Variation of saturation table end points with depth.
EPSDBGS,Outputs scaled relative permeability curves to the Debug file for multiple sets of grid block.
EPSDEBUG,Outputs scaled relative permeability curves to the Debug file.
EQLDKVCR,K-values for equilibrium deviation reactions.
EQLDREAC,Equilibrium deviation reaction rates.
ESSNODE,Effective salinity nodes for salt sensitive surfactant flood studies.
FILEUNIT,Confirms the units of the data set.
GRAVCONS,Sets a user-defined gravity constant.
GRAVITY,Stock tank fluid gravities.
IKRG,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRGR,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRW,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRWR,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRO,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRORG,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
IKRORW,"Imbibition curve end point relative permeability values, equivalent to KRG for example."
KRG,"Scales gas relative permeability values at maximum gas saturation, for cells in the current input box."
KRGR,"Scales gas relative permeability values at residual oil saturation, for cells in the current input box."
KRO,"Scales oil relative permeability values at maximum oil saturation, for cells in the current input box."
KROGRG,"Scales oil relative permeability values at critical gas saturation, for cells in the current input box."
KRORW,"Scales oil relative permeability values at critical water saturation, for cells in the KRW Scales water relative permeability values at maximum water saturation, for cells in the current input box. KRWR Scales water relative permeability values at residual oil saturation, for cells in the"
LCUNIT,Set units for linear combination of phases.
MAXVALUE,Applies a maximum value to specified arrays within the current box.
MINVALUE,‘Applies a minimum value to specified arrays within the current box.
MULTIPLY,Multiplies specified arrays by constant values in the current box.
MULTIREG,"Multiply by MULTNUM, FLUXNUM or OPERNUM region."
OILVISCT,Tables of oil viscosity versus temperature.
OILVTIM,Interpolation method for OILVISCT data.
OPERATE,Performs arithmetic operations on arrays.
OPERATER,Performs arithmetic operations on arrays for a specific region of the grid (defined
using,the OPERNUM keyword in the GRID section).
OVERBURD,Overburden pressure tables.
PCRITS,"Critical pressures for surface EoS. PCW Scales the maximum water capillary pressure, for cells in the current input box."
PLYVISC,Polymer solution viscosity function.
PLYVISCS,Polymer/salt solution viscosity function. PMAX Maximum pressure expected in the simulation.
PPCWMAX,"Limits the calculated PCW values when the SWAT INIT option is used. PVCO FVF and viscosity of live oil as functions of bubble point pressure. PVDO FVF and viscosity of dead oil as functions of pressure. PVIW FVF, compressibility and viscosity of water. PVZG Z-factor and viscosity of dry gas as functions of pressure."
REFINE,Specify data for local grid refinement.
RKTRMDIR,Allows directional transmissibility multipliers to be defined in ROCKTAS tables.
ROCK2D,Two-dimensional water induced rock compaction tables.
ROCKOPTS,Controls options associated with the rock compaction facilities.
RPTPROPS,Report levels for PROPS data.
RTEMP,Specifies a constant reservoir temperature.
SCALECRS,Requests alternative end point scaling method. SGCR Critical gas saturation for grid cells in the current input box.
SGF32D,Gas relative permeability (for three-phase flows) as a 2D table. SGEN Gas relative permeability and capillary pressure as functions of Sg.
SGL,"Connate gas saturation for grid cells in the current input box. SGOF Gas relative permeability and cap pressure, and oil relative permeability in gas,"
SLGOF,"Gas relative permeability and cap pressure, and oil relative permeability in gas,"
SOF32D,"Oil relative permeability as a 2D function of S,, and S, in three phase systems."
SOMGAS,"Minimum oil saturation for STONE1 method, as a function of the gas saturation."
SOMWAT,"Minimum oil saturation for STONE1 method, as a function of the water saturation."
SOWCR,Residual oil-in-water saturation for cells in the current box.
STONE,Stone’s formula for three phase oil relative permeability.
STONEL,Stone’s formula 1 for three phase oil relative permeability.
STONELEX,Exponent applied to saturation terms in Stone’s formula 1 for three phase oil relative
STONE2,Stone’s formula 2 for three phase oil relative permeability.
SURFST,Oil-water surface tension in the presence of surfactant.
SURFCAPD,Capillary de-saturation data.
SWATINIT,"Initial water saturation, for cells in the current input box, to scale the water Pe"
SWF32D,"Water relative permeability (for three-phase flows) as 2-D table. SWEN Water relative permeability and capillary pressure as functions of S.. SwWL Connate water saturation for grid cells in the current input box. SWOF Water relative permeability and cap pressure, and oil relative permeability in water,"
TOLCRIT,Controls the method of determining the table critical saturations in pathological end
TPAMEPS,Volumetric strain values in ROCKPAMA.
TRACER,‘Names and phases of passive tracers.
TZONE,Controls the variation of critical end-point with depth.
VISCREF,Reference conditions for viscosity versus temperature tables.
WATVISCT,Tables of water viscosity versus temperature.
ADSORP,Analytical adsorption functions.
ALKADS,Alkaline adsorption functions.
ALKROCK,Alkaline-rock properties.
ALPHAT,Transport coefficient tables for imbibition processes.
ALPOLADS,Polymer adsorption multipliers as a function of alkaline concentration.
ALSURFAD,Surfactant adsorption multipliers as a function of alkaline concentration.
ALSURFST,Oil/water surface tension multipliers as a function of alkaline concentration.
APIGROUP,Allows different groups of oil PVT tables to be used in different PVTNUM regions when using API Tracking. BGGI Variation of saturated gas FVF with pressure and Gi. BOGI Variation of saturated oil FVF with pressure and Gi.
DEPTHTAB,Depth data for boundary conditions.
DIFEC,Molecular diffusion coefficients for each PVT region.
DIFFDP,Restricts the molecular diffusion calculation to just the matrix-fracture flows in dual
porosity,runs.
DPKRMOD,Modifies the oil relative permeability in dual porosity runs.
EHYSTR,Curvature parameters and model selection for hysteresis.
EHYSTRR,Hysteresis parameters by region.
ENSPCVDV,"Variation of the scaled connate saturation, for P, curves only, with depth."
FILLEPS,Controls the output of end point data in the INIT file.
FOAMADS,Foam adsorption functions.
FOAMFCN,Gas mobility reduction dependence upon capillary number (functional model).
FOAMDCYO,Foam decay as a function of oil saturation (tabular model).
FOAMDCYW,Foam decay as a function of water saturation (tabular model).
FOAMMOB,Gas mobility reduction data (tabular model).
FOAMMOBE,Pressure dependence on foam mobility reduction (tabular model).
FOAMMOBS,Shear dependence on foam mobility reduction (tabular model).
FOAMOPTS,Specifies the Foam Model options.
FOAMROCK,Specifies the foam rock properties.
GIALL,Variation of saturated properties with pressure and Gi.
GINODE,Gi nodal values.
HMMROCK,Cumulative multipliers on rock compressibility.
HMMROCKT,Cumulative modifiers of rock compaction parameters.
HMPROPS,Section heading for end-point modifiers.
